"title","category_name","total_earnings","average_payment"
"Category Pricings","Sports",5314.21,4.507387616624258
"Category Pricings","Sci-Fi",4756.98,4.320599455040872
"Category Pricings","Animation",4656.3,3.9933962264150944
"Category Pricings","Drama",4587.39,4.3277264150943395
"Category Pricings","Comedy",4383.58,4.658427205100956
"Category Pricings","Action",4375.85,3.93511690647482
"Category Pricings","New",4361.57,4.615417989417989
"Category Pricings","Games",4281.33,4.418297213622291
"Category Pricings","Foreign",4270.67,4.134240077444337
"Category Pricings","Family",4226.07,3.8559032846715326
"Category Pricings","Documentary",4217.52,4.016685714285714
"Category Pricings","Horror",3722.54,4.40016548463357
"Category Pricings","Children",3655.55,3.8683068783068784
"Category Pricings","Classics",3639.59,3.876027689030884
"Category Pricings","Travel",3549.64,4.240908004778973
"Category Pricings","Music",3417.72,4.117734939759036
"TELEGRAPH VOYAGE","Music",231.73,8.582592592592592
"WIFE TURN","Documentary",223.69,7.215806451612903
"ZORRO ARK","Comedy",214.69,6.925483870967742
"GOODFELLAS SALUTE","Sci-Fi",209.69,6.764193548387097
"SATURDAY LAMBS","Sports",204.72,7.311428571428571
"TITANS JERK","Sci-Fi",201.71,6.955517241379311
"TORQUE BOUND","Drama",198.72,7.36
"HARRY IDAHO","Drama",195.7,6.523333333333333
"INNOCENT USUAL","Foreign",191.74,7.374615384615384
"HUSTLER PARTY","Comedy",190.78,8.671818181818182
"PELICAN COMFORTS","Documentary",188.74,7.259230769230769
"CAT CONEHEADS","Comedy",181.7,6.056666666666667
"ENEMY ODDS","Music",180.71,6.231379310344828
"BUCKET BROTHERHOOD","Travel",180.66,5.313529411764706
"RANGE MOONWALKER","Family",179.73,6.656666666666666
"MASSACRE USUAL","Games",179.7,5.99
"VIDEOTAPE ARSENIC","Games",178.71,6.162413793103449
"DOGMA FAMILY","Animation",178.7,5.956666666666667
"APACHE DIVINE","Family",178.69,5.764193548387097
"VELVET TERMINATOR","Comedy",177.74,6.836153846153846
"DORADO NOTTING","Music",176.73,6.545555555555556
"FOOL MOCKINGBIRD","Action",175.77,7.642173913043479
