"category_name","mon","tue","wed","thu","fri","sat","sun","total"
Action,22,24,27,23,13,27,24,160
Animation,25,22,34,16,28,25,24,174
Children,17,14,14,14,25,23,23,130
Classics,28,18,18,17,21,16,18,136
Comedy,28,20,11,21,16,17,22,135
Documentary,18,24,19,20,24,24,31,160
Drama,18,16,22,29,19,24,24,152
Family,25,22,17,25,21,23,21,154
Foreign,16,23,20,19,23,27,14,142
Games,16,16,22,22,17,27,22,142
Horror,16,12,20,23,13,16,16,116
Music,14,14,25,19,24,19,18,133
New,19,20,22,12,17,18,24,132
Sci-Fi,29,23,26,17,24,22,21,162
Sports,19,15,23,26,23,26,27,159
Travel,21,8,28,21,17,10,19,124
