"name","avg_film_length"
"Sports",128.2027027027027027
"Games",127.8360655737704918
"Foreign",121.6986301369863014
"Drama",120.8387096774193548
"Comedy",115.8275862068965517
"Family",114.7826086956521739
"Music",113.6470588235294118
"Travel",113.3157894736842105
"Horror",112.4821428571428571
"Classics",111.6666666666666667
"Action",111.6093750000000000
"New",111.1269841269841270
"Animation",111.0151515151515152
"Children",109.8000000000000000
"Documentary",108.7500000000000000
"Sci-Fi",108.1967213114754098
