"title","total_payment"
"OKLAHOMA JUMANJI",5.94
"TEXAS WATCH",5.94
"FREEDOM CLEOPATRA",5.95
"DUFFEL APOCALYPSE",6.93
"YOUNG LANGUAGE",6.93
"REBEL AIRPORT",7.92
"CRUELTY UNFORGIVEN",7.93
"JAPANESE RUN",7.94
"STALLION SUNDANCE",8.93
"HAROLD FRENCH",9.92
"LIGHTS DEER",9.92
"COMANCHEROS ENEMY",9.94
"BALLROOM MOCKINGBIRD",10.92
"CONNECTION MICROCOSMOS",10.93
"CLOCKWORK PARADISE",11.9
"JAWBREAKER BROOKLYN",11.9
"GHOSTBUSTERS ELF",11.91
"MONTEZUMA COMMAND",11.91
"MAUDE MOD",11.92
"TOWERS HURRICANE",12.89
"VICTORY ACADEMY",12.91
"RUNAWAY TENENBAUMS",12.92
"SOUP WISDOM",12.92
"SUNSET RACER",12.92
"TREATMENT JEKYLL",12.93
"HOLLYWOOD ANONYMOUS",13.87
"NOTTING SPEAKEASY",13.9
"LEGEND JEDI",13.91
"DUMBO LUST",13.94
"WATERSHIP FRONTIER",13.94
"SMOOCHY CONTROL",14.88
"ZHIVAGO CORE",14.91
"RUNNER MADIGAN",14.92
"SLING LUKE",14.94
"VANISHED GARDEN",14.94
"GLORY TRACY",14.95
"SPIRIT FLINTSTONES",15.85
"GREEDY ROOTS",15.86
"LAWRENCE LOVE",15.87
"SASSY PACKER",15.87
"HAWK CHILL",15.93
"VISION TORQUE",15.93
"WILD APOLLO",15.94
"MUSSOLINI SPOILERS",15.95
"HARDLY ROBBERS",15.96
"MIXED DOORS",15.96
"SILENCE KANE",16.84
"BEDAZZLED MARRIED",16.87
"VALENTINE VANISHING",16.88
"BEETHOVEN EXORCIST",16.89
"BENEATH RUSH",16.9
"FROGMEN BREAKING",16.9
"YOUTH KICK",16.94
"BRAVEHEART HUMAN",16.95
"CONSPIRACY SPIRIT",16.95
"FULL FLATLINERS",16.95
"SIEGE MADRE",17.85
"ANONYMOUS HUMAN",17.87
"HOOK CHARIOTS",17.87
"SUPERFLY TRIP",17.9
"GILBERT PELICAN",17.91
"MAGIC MALLRATS",17.93
"LADYBUGS ARMAGEDDON",17.94
"SMOKING BARBARELLA",18.83
"PRIDE ALAMO",18.84
"CROW GREASE",18.88
"ENDING CROWDS",18.89
"HOLY TADPOLE",18.91
"RUSHMORE MERMAID",18.94
"SIMON NORTH",18.94
"TOMATOES HELLFIGHTERS",19.86
"LOVERBOY ATTACKS",19.88
"SORORITY QUEEN",19.88
"LANGUAGE COWBOY",19.89
"SPIRITED CASUALTIES",19.89
"MYSTIC TRUMAN",19.9
"CRAFT OUTFIELD",20.84
"KANE EXORCIST",20.86
"TENENBAUMS COMMAND",20.87
"SPOILERS HELLFIGHTERS",20.9
"IMPACT ALADDIN",20.91
"BRIDE INTRIGUE",21.81
"JEDI BENEATH",21.81
"BULL SHAWSHANK",21.84
"CITIZEN SHREK",21.87
"MONTEREY LABYRINTH",21.87
"MENAGERIE RUSHMORE",21.93
"MULHOLLAND BEAST",21.93
"KILLER INNOCENT",21.94
"PHANTOM GLORY",21.94
"WARLOCK WEREWOLF",21.94
"MUSIC BOONDOCK",22.81
"GANDHI KWAI",22.83
"VIETNAM SMOOCHY",22.85
"ARABIA DOGMA",22.87
"HUNGER ROOF",22.87
"SHINING ROSES",22.92
"BANG KWAI",22.93
"LICENSE WEEKEND",22.93
"NEWSIES STORY",22.93
"EXTRAORDINARY CONQUERER",22.94
"HAPPINESS UNITED",22.94
"HOMEWARD CIDER",23.84
"ODDS BOOGIE",23.85
"WRATH MILE",23.86
"REEF SALUTE",23.89
"BIRDCAGE CASPER",23.91
"CHAPLIN LICENSE",23.92
"CLYDE THEORY",23.92
"LESSON CLEOPATRA",23.93
"CASSIDY WYOMING",23.94
"DUCK RACER",23.94
"MANNEQUIN WORST",23.95
"DRACULA CRYSTAL",24.79
"WOLVES DESIRE",24.79
"PATIENT SISTER",24.81
"POLISH BROOKLYN",24.82
"STREAK RIDGEMONT",24.84
"DRUMS DYNAMITE",24.87
"EVERYONE CRAFT",24.87
"GATHERING CALENDAR",24.89
"WORLD LEATHERNECKS",24.92
"BED HIGHBALL",24.94
"HUNTER ALTER",24.95
"TRAFFIC HOBBIT",24.95
"TRAIN BUNCH",24.96
"DECEIVER BETRAYED",25.79
"MASKED BUBBLE",25.8
"UNFORGIVEN ZOOLANDER",25.82
"HOLOCAUST HIGHBALL",25.83
"MOSQUITO ARMAGEDDON",25.85
"JUNGLE CLOSER",25.86
"NOTORIOUS REUNION",25.86
"DESIRE ALIEN",25.92
"BUNCH MINDS",25.95
"RESURRECTION SILVERADO",26.79
"EVOLUTION ALTER",26.88
"CRAZY HOME",26.91
"PET HAUNTING",26.92
"UNFAITHFUL KILL",26.92
"PRIVATE DROP",26.95
"BORROWERS BEDAZZLED",27.78
"CANYON STOCK",27.81
"ENCINO ELF",27.81
"DRAGON SQUAD",27.89
"MINORITY KISS",27.89
"DIARY PANIC",27.91
"LEATHERNECKS DWARFS",27.93
"SQUAD FISH",27.93
"INFORMER DOUBLE",27.95
"CHRISTMAS MOONSHINE",28.79
"GREASE YOUTH",28.79
"FINDING ANACONDA",28.88
"SAVANNAH TOWN",28.88
"JEOPARDY ENCINO",28.9
"WON DARES",28.91
"CHITTY LOCK",28.92
"PAPI NECKLACE",28.92
"COWBOY DOOM",28.93
"LUKE MUMMY",28.93
"PIZZA JUMANJI",28.93
"ROMAN PUNK",29.76
"ROOM ROMAN",29.8
"CLEOPATRA DEVIL",29.83
"LOUISIANA HARRY",29.83
"SIDE ARK",29.88
"OLEANDER CLUE",29.9
"DARES PLUTO",29.91
"WISDOM WORKER",29.91
"EMPIRE MALKOVICH",30.79
"SLIPPER FIDELITY",30.84
"THEORY MERMAID",30.88
"LUCK OPUS",30.9
"DOLLS RAGE",30.91
"JUMANJI BLADE",30.92
"APOCALYPSE FLAMINGOS",30.94
"SEVEN SWARM",30.95
"DANCES NONE",31.86
"DWARFS ALTER",31.91
"RANDOM GO",31.91
"DESTINATION JERK",31.92
"SAINTS BRIDE",31.92
"DESPERATE TRAINSPOTTING",31.94
"HAUNTED ANTITRUST",31.94
"SHEPHERD MIDSUMMER",32.75
"CELEBRITY HORN",32.76
"ALTER VICTORY",32.78
"CHILL LUCK",32.78
"HIGHBALL POTTER",32.79
"MARS ROMAN",32.81
"FACTORY DRAGON",32.83
"REAR TRADING",32.83
"BONNIE HOLOCAUST",32.84
"MOTIONS DETAILS",32.85
"STAMPEDE DISTURBING",32.86
"NATURAL STOCK",32.87
"MAKER GABLES",32.9
"BULWORTH COMMANDMENTS",32.93
"TEQUILA PAST",32.94
"AMADEUS HOLY",33.79
"CHAINSAW UPTOWN",33.79
"ROXANNE REBEL",33.81
"VOICE PEACH",33.81
"TRANSLATION SUMMER",33.85
"SPLASH GUMP",33.86
"SANTA PARIS",33.89
"MAGUIRE APACHE",33.91
"DIVORCE SHINING",33.93
"FEVER EMPIRE",33.95
"CARRIE BUNCH",34.77
"EARTH VISION",34.77
"BLADE POLISH",34.79
"LION UNCUT",34.82
"TAXI KICK",34.83
"SUMMER SCARFACE",34.84
"WATCH TRACY",34.84
"RINGS HEARTBREAKERS",34.85
"MOB DUFFEL",34.88
"MAGNOLIA FORRESTER",34.89
"SONG HEDWIG",34.89
"RESERVOIR ADAPTATION",34.9
"DOCTOR GRAIL",34.93
"ALAMO VIDEOTAPE",35.76
"LOVE SUICIDES",35.8
"DONNIE ALLEY",35.86
"GONE TROUBLE",35.9
"HALLOWEEN NUTS",35.9
"UNTOUCHABLES SUNRISE",35.92
"BUBBLE GROSSE",35.94
"FRONTIER CABIN",35.94
"SCHOOL JACKET",35.94
"PRIMARY GLASS",36.73
"ACADEMY DINOSAUR",36.77
"VOLCANO TEXAS",36.78
"CHEAPER CLYDE",36.8
"INSECTS STONE",36.81
"MULAN MOON",36.87
"CONTROL ANTHEM",36.93
"DOZEN LION",36.93
"WESTWARD SEABISCUIT",37.74
"GUN BONNIE",37.75
"SHOOTIST SUPERFLY",37.76
"INTRIGUE WORST",37.8
"ADAPTATION HOLES",37.88
"HEDWIG ALTER",37.88
"ANTITRUST TOMATOES",37.9
"SNATCHERS MONTEZUMA",37.91
"GODFATHER DIARY",37.92
"VERTIGO NORTHWEST",37.92
"GRACELAND DYNAMITE",37.94
"MOON BUNCH",38.71
"CURTAIN VIDEOTAPE",38.74
"CAPER MOTIONS",38.76
"WIND PHANTOM",38.77
"PIANIST OUTFIELD",38.78
"INDEPENDENCE HOTEL",38.81
"MIGHTY LUCK",38.88
"UPTOWN YOUNG",38.88
"DRUMLINE CYCLONE",38.89
"BLOOD ARGONAUTS",38.9
"WAGON JAWS",38.9
"ITALIAN AFRICAN",38.94
"TALENTED HOMICIDE",39.71
"STORY SIDE",39.72
"FEUD FROGMEN",39.75
"OUTBREAK DIVINE",39.77
"CONGENIALITY QUEST",39.78
"ENCOUNTERS CURTAIN",39.81
"JOON NORTHWEST",39.83
"ILLUSION AMELIE",39.85
"TOOTSIE PILOT",39.85
"PAJAMA JAWBREAKER",39.86
"ROBBERY BRIGHT",39.87
"SPINAL ROCKY",39.87
"STONE FIRE",39.89
"ELF MURDER",39.93
"FIRE WOLVES",39.93
"JERSEY SASSY",39.94
"TERMINATOR CLUB",39.94
"SPLENDOR PATTON",40.79
"CABIN FLASH",40.85
"BLANKET BEVERLY",40.88
"FRIDA SLIPPER",40.9
"TARZAN VIDEOTAPE",40.92
"CLUE GRAIL",40.93
"EVE RESURRECTION",40.93
"PRESIDENT BANG",40.93
"CROOKED FROGMEN",41.77
"DISCIPLE MOTHER",41.81
"SUNDANCE INVASION",41.81
"GROOVE FICTION",41.82
"ARMY FLINTSTONES",41.84
"MILE MULAN",41.87
"SPIKING ELEMENT",41.87
"FEATHERS METAL",41.89
"HOOSIERS BIRDCAGE",41.92
"SOLDIERS EVOLUTION",41.92
"EARLY HOME",41.93
"HEAVENLY GUN",41.93
"BANGER PINOCCHIO",42.78
"COAST RAINBOW",42.79
"MOURNING PURPLE",42.79
"ROOTS REMEMBER",42.83
"SADDLE ANTITRUST",42.86
"CRANES RESERVOIR",42.89
"LORD ARIZONA",42.89
"PRIX UNDEFEATED",42.89
"WARS PLUTO",42.9
"POCUS PULP",43.74
"MAJESTIC FLOATS",43.83
"NECKLACE OUTBREAK",43.85
"GLASS DYING",43.86
"SHANGHAI TYCOON",43.86
"FOREVER CANDIDATE",43.87
"LUCKY FLYING",43.87
"RECORDS ZORRO",43.92
"ALASKA PHANTOM",44.74
"WOMEN DORADO",44.78
"CLUB GRAFFITI",44.8
"PARTY KNOCK",44.87
"LIFE TWISTED",44.9
"RUN PACIFIC",44.9
"MIRACLE VIRTUAL",44.91
"FANTASY TROOPERS",45.74
"ARMAGEDDON LOST",45.79
"MIDNIGHT WESTWARD",45.83
"STOCK GLASS",45.86
"UNCUT SUICIDES",45.86
"DATE SPEED",45.87
"SPEAKEASY DATE",45.88
"ROLLERCOASTER BRINGING",45.9
"MATRIX SNOWMAN",45.91
"PLATOON INSTINCT",45.91
"BABY HALL",45.92
"STORM HAPPINESS",46.71
"SHREK LICENSE",46.85
"PARIS WEEKEND",46.86
"TROOPERS METAL",46.86
"MICROCOSMOS PARADISE",46.87
"STAGE WORLD",46.9
"ANYTHING SAVANNAH",46.91
"HOTEL HAPPINESS",46.91
"LEGALLY SECRETARY",46.91
"GROSSE WONDERFUL",46.92
"PUNK DIVORCE",46.92
"TRAMP OTHERS",47.8
"NEWTON LABYRINTH",47.83
"ENTRAPMENT SATISFACTION",47.85
"LABYRINTH LEAGUE",47.85
"SHIP WONDERLAND",47.85
"KRAMER CHOCOLATE",47.91
"CRUSADE HONEY",47.92
"SENSE GREEK",47.93
"VOYAGE LEGALLY",48.72
"GOLDMINE TYCOON",48.73
"ROCK INSTINCT",48.83
"VARSITY TRIP",48.84
"CYCLONE FAMILY",48.86
"HAMLET WISDOM",48.86
"DARKNESS WAR",48.87
"RIDER CADDYSHACK",48.89
"LOLITA WORLD",48.9
"DROP WATERFRONT",48.91
"GOSFORD DONNIE",48.92
"HOURS RAGE",49.81
"MODERN DORADO",49.85
"WASTELAND DIVINE",49.85
"PERSONAL LADYBUGS",49.86
"TOWN ARK",49.86
"EXPRESS LONELY",49.87
"POTLUCK MIXED",49.89
"HOLLOW JEOPARDY",49.9
"DARLING BREAKING",49.91
"INTOLERABLE INTENTIONS",49.91
"SPEED SUIT",49.91
"BOUND CHEAPER",50.76
"KWAI HOMEWARD",50.77
"INDIAN LOVE",50.84
"LOCK REAR",50.84
"WORKER TARZAN",50.85
"CLERKS ANGELS",50.93
"VIRGINIAN PLUTO",51.71
"PIRATES ROXANNE",51.78
"CADDYSHACK JEDI",51.84
"MOULIN WAKE",51.84
"MONSTER SPARTACUS",51.85
"BREAKING HOME",51.87
"AFRICAN EGG",51.88
"ELIZABETH SHANE",51.9
"ISHTAR ROCKETEER",51.93
"PANIC CLUB",51.93
"HAUNTING PIANIST",52.78
