"person_id","following","path","steps"
57,15,"57->15",1
57,33,"57->33",1
57,786,"57->786",1
15,81,"57->15->81",2
15,328,"57->15->328",2
15,641,"57->15->641",2
33,157,"57->33->157",2
33,329,"57->33->329",2
33,332,"57->33->332",2
33,603,"57->33->603",2
33,610,"57->33->610",2
33,737,"57->33->737",2
33,878,"57->33->878",2
33,884,"57->33->884",2
33,949,"57->33->949",2
33,998,"57->33->998",2
786,16,"57->786->16",2
786,153,"57->786->153",2
786,269,"57->786->269",2
786,880,"57->786->880",2
81,871,"57->15->81->871",3
81,886,"57->15->81->886",3
81,967,"57->15->81->967",3
81,979,"57->15->81->979",3
328,59,"57->15->328->59",3
328,64,"57->15->328->64",3
328,194,"57->15->328->194",3
328,329,"57->15->328->329",3
328,655,"57->15->328->655",3
641,108,"57->15->641->108",3
641,182,"57->15->641->182",3
641,445,"57->15->641->445",3
641,987,"57->15->641->987",3
157,643,"57->33->157->643",3
157,902,"57->33->157->902",3
329,64,"57->33->329->64",3
329,722,"57->33->329->722",3
329,936,"57->33->329->936",3
332,177,"57->33->332->177",3
332,273,"57->33->332->273",3
332,803,"57->33->332->803",3
603,598,"57->33->603->598",3
603,954,"57->33->603->954",3
603,956,"57->33->603->956",3
610,11,"57->33->610->11",3
610,73,"57->33->610->73",3
610,288,"57->33->610->288",3
610,456,"57->33->610->456",3
610,475,"57->33->610->475",3
610,926,"57->33->610->926",3
737,402,"57->33->737->402",3
737,461,"57->33->737->461",3
737,627,"57->33->737->627",3
737,700,"57->33->737->700",3
878,18,"57->33->878->18",3
878,61,"57->33->878->61",3
878,709,"57->33->878->709",3
878,914,"57->33->878->914",3
884,443,"57->33->884->443",3
884,521,"57->33->884->521",3
884,622,"57->33->884->622",3
949,9,"57->33->949->9",3
949,131,"57->33->949->131",3
949,428,"57->33->949->428",3
949,438,"57->33->949->438",3
949,487,"57->33->949->487",3
949,615,"57->33->949->615",3
949,755,"57->33->949->755",3
949,935,"57->33->949->935",3
998,30,"57->33->998->30",3
998,175,"57->33->998->175",3
998,264,"57->33->998->264",3
998,366,"57->33->998->366",3
998,508,"57->33->998->508",3
998,752,"57->33->998->752",3
998,815,"57->33->998->815",3
16,535,"57->786->16->535",3
16,706,"57->786->16->706",3
16,895,"57->786->16->895",3
16,918,"57->786->16->918",3
153,334,"57->786->153->334",3
153,901,"57->786->153->901",3
269,328,"57->786->269->328",3
269,620,"57->786->269->620",3
880,199,"57->786->880->199",3
880,227,"57->786->880->227",3
880,296,"57->786->880->296",3
880,349,"57->786->880->349",3
880,570,"57->786->880->570",3
880,597,"57->786->880->597",3
880,632,"57->786->880->632",3
880,838,"57->786->880->838",3
880,849,"57->786->880->849",3
880,952,"57->786->880->952",3
